case_uid,status,execution_time_ms,edge_coverage,depth,operators,input_shape,error_message
fuzz_pt_7a52feb4,Crash,1.0,3603,4,"Conv2d,AvgPool2d,Linear,MaxPool2d","[128, 26, 128, 1024]","Given groups=1, weight of size [29, 63, 1, 1], expected input[128, 26, 128, 1024] to have 63 channels, but got 26 channels instead"
fuzz_pt_471032e1,Success,1.52,1671,1,ReLU,"[4, 56, 128, 32]",None
fuzz_pt_f44a2b8a,Success,1.0,1562,1,Flatten,"[64, 39, 16, 16]",None
fuzz_pt_bfd0d637,Crash,1.0,6209,6,"Linear,Linear,ReLU,Conv2d,Flatten,BatchNorm2d","[64, 10, 32, 64]",mat1 and mat2 shapes cannot be multiplied (20480x64 and 117x23)
fuzz_pt_322d047a,Crash,1.0,3231,4,"MaxPool2d,Conv2d,AvgPool2d,ReLU","[1, 42, 16, 64]","Given groups=1, weight of size [4, 22, 5, 5], expected input[1, 42, 8, 32] to have 22 channels, but got 42 channels instead"
fuzz_pt_b46cc5bd,Crash,3.01,2997,4,"ReLU,ReLU,AvgPool2d,Conv2d","[1, 54, 64, 1024]","Given groups=1, weight of size [49, 56, 5, 5], expected input[1, 54, 21, 341] to have 56 channels, but got 54 channels instead"
fuzz_pt_4111fcaf,Crash,1.0,2134,2,"Linear,MaxPool2d","[16, 4, 32, 128]",mat1 and mat2 shapes cannot be multiplied (2048x128 and 385x551)
fuzz_pt_9fec4d58,Crash,1.0,2476,3,"Linear,BatchNorm2d,MaxPool2d","[128, 9, 256, 1024]",mat1 and mat2 shapes cannot be multiplied (294912x1024 and 486x67)
fuzz_pt_f24e5e58,Crash,9.67,3036,6,"MaxPool2d,BatchNorm2d,AvgPool2d,MaxPool2d,BatchNorm2d,MaxPool2d","[64, 9, 256, 16]",running_mean should contain 9 elements not 1
fuzz_pt_89f08740,Crash,1.0,4094,5,"Linear,Flatten,BatchNorm2d,AvgPool2d,Flatten","[64, 1150]",mat1 and mat2 shapes cannot be multiplied (64x1150 and 802x496)
fuzz_pt_7e1feb51,Crash,1.0,3287,6,"Linear,BatchNorm2d,Linear,BatchNorm2d,AvgPool2d,ReLU","[128, 38, 256, 256]",mat1 and mat2 shapes cannot be multiplied (1245184x256 and 601x441)
fuzz_pt_eeaa0298,Success,1.0,2492,3,"AvgPool2d,AvgPool2d,AvgPool2d","[1, 22, 256, 32]",None
fuzz_pt_c60de524,Crash,1.0,1557,1,Conv2d,"[16, 27, 256, 16]","Given groups=1, weight of size [61, 22, 3, 3], expected input[16, 27, 256, 16] to have 22 channels, but got 27 channels instead"
fuzz_pt_f820351a,Crash,1.0,4337,5,"Linear,ReLU,BatchNorm2d,Flatten,BatchNorm2d","[4, 25, 64, 32]",mat1 and mat2 shapes cannot be multiplied (6400x32 and 800x375)
fuzz_pt_7ab46c6e,Crash,1.0,1260,1,Linear,"[128, 48, 16, 1024]",mat1 and mat2 shapes cannot be multiplied (98304x1024 and 794x542)
fuzz_pt_e0bd3f10,Crash,1.0,5098,5,"Flatten,MaxPool2d,Linear,BatchNorm2d,Conv2d","[64, 2764]",non-empty 3D or 4D (batch mode) tensor expected for input
fuzz_pt_fbf96ebf,Crash,1.0,2735,2,"Conv2d,Flatten","[1, 2340]","Expected 3D (unbatched) or 4D (batched) input to conv2d, but got input of size: [1, 2340]"
fuzz_pt_e2c2b918,Crash,1.0,2907,3,"Conv2d,Conv2d,ReLU","[4, 22, 256, 32]","Given groups=1, weight of size [55, 13, 1, 1], expected input[4, 22, 256, 32] to have 13 channels, but got 22 channels instead"
fuzz_pt_b112f5e7,Crash,2.58,1956,2,"ReLU,Conv2d","[16, 38, 16, 1024]","Given groups=1, weight of size [14, 45, 1, 1], expected input[16, 38, 16, 1024] to have 45 channels, but got 38 channels instead"
fuzz_pt_22887741,Crash,1.55,1534,1,Linear,"[64, 36, 256, 1024]",mat1 and mat2 shapes cannot be multiplied (589824x1024 and 718x926)
fuzz_pt_f1fd3e41,Crash,12.04,2644,3,"AvgPool2d,Conv2d,ReLU","[4, 59, 128, 1024]","Given groups=1, weight of size [56, 58, 5, 5], expected input[4, 59, 64, 512] to have 58 channels, but got 59 channels instead"
fuzz_pt_0e36335a,Success,4.86,3807,3,"MaxPool2d,AvgPool2d,Flatten","[128, 53, 16, 64]",None
fuzz_pt_ff02e0af,Crash,1.0,1152,1,BatchNorm2d,"[64, 1386]",expected 4D input (got 2D input)
fuzz_pt_73b6be0f,Crash,1.0,4501,3,"Linear,BatchNorm2d,Linear","[128, 12, 32, 1024]",mat1 and mat2 shapes cannot be multiplied (49152x1024 and 321x95)
fuzz_pt_65b9102a,Crash,1.0,1886,3,"AvgPool2d,BatchNorm2d,AvgPool2d","[16, 8, 32, 16]",running_mean should contain 8 elements not 62
fuzz_pt_63fee346,Crash,1.0,3913,4,"Conv2d,AvgPool2d,MaxPool2d,AvgPool2d","[4, 53, 256, 256]","Given groups=1, weight of size [52, 35, 1, 1], expected input[4, 53, 256, 256] to have 35 channels, but got 53 channels instead"
fuzz_pt_46d8a419,Crash,1.0,2475,5,"MaxPool2d,BatchNorm2d,Linear,MaxPool2d,BatchNorm2d","[16, 671]",non-empty 3D or 4D (batch mode) tensor expected for input
fuzz_pt_2b31c119,Crash,1.0,2093,2,"MaxPool2d,Linear","[4, 59, 16, 16]",mat1 and mat2 shapes cannot be multiplied (1180x5 and 448x226)
fuzz_pt_f2ae06db,Crash,1.0,4096,5,"ReLU,BatchNorm2d,Linear,Linear,Linear","[1, 1135]",expected 4D input (got 2D input)
fuzz_pt_21e14c94,Crash,39.92,3103,6,"AvgPool2d,AvgPool2d,ReLU,Flatten,Flatten,AvgPool2d","[64, 53, 256, 256]","Dimension out of range (expected to be in range of [-2, 1], but got -3)"
fuzz_pt_a5e998c8,Crash,1.0,3620,5,"BatchNorm2d,Flatten,Flatten,BatchNorm2d,AvgPool2d","[16, 58, 256, 32]",running_mean should contain 58 elements not 5
fuzz_pt_5acde2c5,Crash,45.96,2968,5,"AvgPool2d,BatchNorm2d,MaxPool2d,AvgPool2d,Conv2d","[64, 54, 1024, 64]",running_mean should contain 54 elements not 5
fuzz_pt_6cc7ea69,Success,1.0,1985,1,ReLU,"[1, 9, 128, 128]",None
fuzz_pt_da6036c6,Crash,1.0,4529,5,"AvgPool2d,BatchNorm2d,Linear,MaxPool2d,Flatten","[128, 21, 32, 64]",running_mean should contain 21 elements not 37
fuzz_pt_29f647ab,Success,756.73,3535,3,"MaxPool2d,ReLU,AvgPool2d","[16, 62, 64, 1024]",None
fuzz_pt_8c16066d,Crash,1.0,2495,2,"Conv2d,Flatten","[1, 2779]","Expected 3D (unbatched) or 4D (batched) input to conv2d, but got input of size: [1, 2779]"
fuzz_pt_19522a80,Crash,1.0,5347,6,"Linear,Flatten,Conv2d,MaxPool2d,BatchNorm2d,Conv2d","[128, 43, 256, 128]",mat1 and mat2 shapes cannot be multiplied (1409024x128 and 998x744)
fuzz_pt_ddfcdad3,Crash,1.0,3193,4,"Linear,AvgPool2d,Conv2d,Conv2d","[1, 59, 32, 128]",mat1 and mat2 shapes cannot be multiplied (1888x128 and 329x300)
fuzz_pt_6af38600,Crash,1.0,5392,4,"Linear,MaxPool2d,Conv2d,ReLU","[16, 2483]",mat1 and mat2 shapes cannot be multiplied (16x2483 and 852x93)
fuzz_pt_6e990b22,Crash,1.0,4439,6,"Flatten,BatchNorm2d,Linear,ReLU,MaxPool2d,ReLU","[1, 149]",expected 4D input (got 2D input)
fuzz_pt_3a56eb31,Crash,1.0,4095,3,"Conv2d,Linear,Conv2d","[64, 54, 32, 128]","Given groups=1, weight of size [29, 21, 5, 5], expected input[64, 54, 32, 128] to have 21 channels, but got 54 channels instead"
fuzz_pt_fdeae0e3,Crash,332.97,1162,1,BatchNorm2d,Unallocatable,AllocationError: [enforce fail at alloc_cpu.cpp:117] data. DefaultCPUAllocator: not enough memory: you tried to allocate 18790481920 bytes.
fuzz_pt_a82fd17d,Crash,1.0,4013,4,"Flatten,Conv2d,MaxPool2d,Linear","[256, 3679]","Expected 3D (unbatched) or 4D (batched) input to conv2d, but got input of size: [256, 3679]"
fuzz_pt_6f7b3c41,Timeout,2811.2,1590,1,ReLU,"[64, 29, 32, 1024]",TimeoutError: Execution exceeded maximum allowed time (2s)
fuzz_pt_85d033b4,Crash,50.92,3280,4,"MaxPool2d,ReLU,BatchNorm2d,BatchNorm2d","[64, 50, 64, 256]",running_mean should contain 50 elements not 5
fuzz_pt_9bdf5892,Crash,1.0,3267,4,"MaxPool2d,MaxPool2d,Conv2d,BatchNorm2d","[1, 11, 16, 64]","Given groups=1, weight of size [37, 25, 5, 5], expected input[1, 11, 2, 10] to have 25 channels, but got 11 channels instead"
fuzz_pt_afd522cb,Crash,1.0,3387,6,"Linear,AvgPool2d,ReLU,Flatten,Flatten,AvgPool2d","[256, 1231]",mat1 and mat2 shapes cannot be multiplied (256x1231 and 879x585)
fuzz_pt_e9b2fa75,Crash,1.0,3876,5,"AvgPool2d,BatchNorm2d,Conv2d,Conv2d,BatchNorm2d","[16, 1499]","Dimension out of range (expected to be in range of [-2, 1], but got -3)"
fuzz_pt_e0b29ab4,Crash,1.0,3551,6,"Flatten,MaxPool2d,Flatten,Flatten,BatchNorm2d,BatchNorm2d","[64, 4063]",non-empty 3D or 4D (batch mode) tensor expected for input
fuzz_pt_acd6d145,Success,1.0,1389,1,ReLU,"[1, 27, 256, 64]",None
fuzz_pt_14ae8bc1,Crash,1.0,2430,4,"BatchNorm2d,AvgPool2d,MaxPool2d,Flatten","[16, 3022]",expected 4D input (got 2D input)
fuzz_pt_d695d50c,Crash,1.0,6388,6,"Conv2d,Conv2d,AvgPool2d,Flatten,Conv2d,AvgPool2d","[16, 1381]","Expected 3D (unbatched) or 4D (batched) input to conv2d, but got input of size: [16, 1381]"
fuzz_pt_d144c923,Crash,1.0,3957,6,"MaxPool2d,MaxPool2d,ReLU,MaxPool2d,BatchNorm2d,BatchNorm2d","[16, 48, 16, 64]",Given input size: (48x1x7). Calculated output size: (48x0x2). Output size is too small
fuzz_pt_1158d9d2,Crash,1.0,2068,1,Conv2d,"[16, 34, 32, 1024]","Given groups=1, weight of size [46, 21, 5, 5], expected input[16, 34, 32, 1024] to have 21 channels, but got 34 channels instead"
fuzz_pt_21ebd8ea,Success,1.0,1536,1,Flatten,"[16, 3, 64, 128]",None
fuzz_pt_bfbcc7c3,Crash,1.0,4649,5,"Linear,AvgPool2d,MaxPool2d,Flatten,MaxPool2d","[64, 63, 16, 256]",mat1 and mat2 shapes cannot be multiplied (64512x256 and 394x128)
fuzz_pt_c5a9fb41,Crash,1.0,3682,5,"BatchNorm2d,Conv2d,AvgPool2d,MaxPool2d,BatchNorm2d","[128, 12, 32, 256]",running_mean should contain 12 elements not 29
fuzz_pt_c880e840,Crash,1.0,3314,3,"Conv2d,Linear,Linear","[16, 3517]","Expected 3D (unbatched) or 4D (batched) input to conv2d, but got input of size: [16, 3517]"
fuzz_pt_dc11be98,Crash,1.0,5989,6,"AvgPool2d,AvgPool2d,Conv2d,Linear,MaxPool2d,Flatten","[128, 45, 16, 64]","Given groups=1, weight of size [61, 15, 3, 3], expected input[128, 45, 1, 7] to have 15 channels, but got 45 channels instead"
fuzz_pt_0933310e,Crash,1.0,1297,1,BatchNorm2d,"[16, 42, 32, 64]",running_mean should contain 42 elements not 62
fuzz_pt_bce0f2a3,Crash,1.0,3033,4,"Flatten,Linear,Flatten,AvgPool2d","[1, 26, 128, 256]",mat1 and mat2 shapes cannot be multiplied (1x851968 and 711x83)
fuzz_pt_515349ef,Crash,1.0,4577,4,"Conv2d,Flatten,BatchNorm2d,ReLU","[4, 47, 128, 256]","Given groups=1, weight of size [64, 12, 1, 1], expected input[4, 47, 128, 256] to have 12 channels, but got 47 channels instead"
fuzz_pt_681f107d,Crash,6.06,3440,5,"ReLU,ReLU,Flatten,ReLU,AvgPool2d","[16, 16, 1024, 32]","Dimension out of range (expected to be in range of [-2, 1], but got -3)"
fuzz_pt_35b40ced,Crash,1.0,9126,6,"ReLU,Conv2d,BatchNorm2d,Conv2d,Linear,Conv2d","[1, 2470]","Expected 3D (unbatched) or 4D (batched) input to conv2d, but got input of size: [1, 2470]"
fuzz_pt_1a5db858,Crash,1.0,941,1,MaxPool2d,"[256, 3331]",non-empty 3D or 4D (batch mode) tensor expected for input
fuzz_pt_90b0e847,Crash,1.0,4680,5,"Conv2d,ReLU,MaxPool2d,ReLU,Linear","[256, 318]","Expected 3D (unbatched) or 4D (batched) input to conv2d, but got input of size: [256, 318]"
fuzz_pt_0fd28360,Crash,1.0,4922,4,"Linear,BatchNorm2d,Flatten,Flatten","[16, 25, 256, 32]",mat1 and mat2 shapes cannot be multiplied (102400x32 and 977x237)
fuzz_pt_adae4dd8,Crash,1.0,3967,6,"Conv2d,Flatten,BatchNorm2d,Conv2d,BatchNorm2d,Flatten","[1, 42, 128, 256]","Given groups=1, weight of size [56, 29, 5, 5], expected input[1, 42, 128, 256] to have 29 channels, but got 42 channels instead"
fuzz_pt_00cecaa5,Crash,1.0,892,1,BatchNorm2d,"[4, 25, 16, 64]",running_mean should contain 25 elements not 26
fuzz_pt_b2292390,Crash,1.0,1300,2,"BatchNorm2d,ReLU","[256, 1362]",expected 4D input (got 2D input)
fuzz_pt_7a6be32f,Crash,2.11,3649,4,"MaxPool2d,Flatten,ReLU,Linear","[64, 15, 128, 16]",mat1 and mat2 shapes cannot be multiplied (64x7680 and 682x1002)
fuzz_pt_f3220d4d,Crash,1.0,2538,2,"Linear,BatchNorm2d","[16, 4, 256, 32]",mat1 and mat2 shapes cannot be multiplied (16384x32 and 243x947)
fuzz_pt_d7e6d5db,Crash,1.0,3482,5,"BatchNorm2d,Flatten,AvgPool2d,Flatten,Conv2d","[4, 31, 32, 64]",running_mean should contain 31 elements not 4
fuzz_pt_ae40488d,Crash,1.0,2761,4,"MaxPool2d,Flatten,Conv2d,Flatten","[1, 2305]",non-empty 3D or 4D (batch mode) tensor expected for input
fuzz_pt_dffffc4d,Crash,1.0,4046,4,"Conv2d,Flatten,Conv2d,Conv2d","[16, 3543]","Expected 3D (unbatched) or 4D (batched) input to conv2d, but got input of size: [16, 3543]"
fuzz_pt_22f85e41,Success,1.0,1979,2,"ReLU,ReLU","[1, 16, 64, 64]",None
fuzz_pt_9ddbe222,Crash,1.0,996,1,MaxPool2d,"[64, 3864]",non-empty 3D or 4D (batch mode) tensor expected for input
fuzz_pt_d668fdec,Crash,1.0,2945,4,"ReLU,ReLU,AvgPool2d,Conv2d","[1, 50000]","Dimension out of range (expected to be in range of [-2, 1], but got -3)"
fuzz_pt_8bce83b4,Crash,1.0,3197,6,"ReLU,MaxPool2d,MaxPool2d,Flatten,BatchNorm2d,AvgPool2d","[1, 50, 128, 64]",expected 4D input (got 2D input)
fuzz_pt_85199ac8,Crash,1.0,5208,5,"Flatten,Conv2d,Linear,MaxPool2d,ReLU","[1, 2303]","Expected 3D (unbatched) or 4D (batched) input to conv2d, but got input of size: [1, 2303]"
fuzz_pt_a2dc15b8,Crash,1.0,2042,1,Linear,"[16, 19, 16, 256]",mat1 and mat2 shapes cannot be multiplied (4864x256 and 448x461)
fuzz_pt_64520ca7,Crash,1.0,2694,2,"AvgPool2d,Linear","[64, 7, 256, 32]",mat1 and mat2 shapes cannot be multiplied (57344x16 and 418x485)
fuzz_pt_fae84337,Crash,4.12,3576,3,"AvgPool2d,ReLU,Conv2d","[1, 26, 64, 256]","Given groups=1, weight of size [56, 59, 1, 1], expected input[1, 26, 32, 128] to have 59 channels, but got 26 channels instead"
fuzz_pt_ea5fc72d,Crash,1.0,3977,4,"Flatten,Conv2d,Flatten,ReLU","[1, 9, 1024, 1024]","Expected 3D (unbatched) or 4D (batched) input to conv2d, but got input of size: [1, 9437184]"
fuzz_pt_0a56504d,Crash,1.0,6309,5,"ReLU,Linear,AvgPool2d,BatchNorm2d,Linear","[64, 1313]",mat1 and mat2 shapes cannot be multiplied (64x1313 and 942x813)
fuzz_pt_267d0c20,Crash,1.0,1988,1,Conv2d,"[128, 4, 128, 16]","Given groups=1, weight of size [31, 58, 1, 1], expected input[128, 4, 128, 16] to have 58 channels, but got 4 channels instead"
fuzz_pt_7e875fe7,Crash,26.6,2959,2,"MaxPool2d,Conv2d","[64, 38, 256, 64]","Given groups=1, weight of size [38, 50, 5, 5], expected input[64, 38, 128, 32] to have 50 channels, but got 38 channels instead"
fuzz_pt_f5e0a64b,Crash,1.0,2483,2,"Conv2d,ReLU","[1, 2126]","Expected 3D (unbatched) or 4D (batched) input to conv2d, but got input of size: [1, 2126]"
fuzz_pt_71fad961,Crash,1.51,3092,3,"Conv2d,ReLU,MaxPool2d","[128, 46, 128, 32]","Given groups=1, weight of size [24, 59, 1, 1], expected input[128, 46, 128, 32] to have 59 channels, but got 46 channels instead"
fuzz_pt_85ed462e,Crash,1.0,4614,6,"BatchNorm2d,Flatten,AvgPool2d,Linear,Conv2d,MaxPool2d","[16, 53, 256, 64]",running_mean should contain 53 elements not 2
fuzz_pt_b43951e6,Crash,1.0,4210,6,"BatchNorm2d,AvgPool2d,Flatten,BatchNorm2d,Conv2d,Linear","[64, 951]",expected 4D input (got 2D input)
fuzz_pt_84d25ba2,Crash,1.0,6036,4,"ReLU,Linear,Conv2d,AvgPool2d","[4, 9, 128, 1024]",mat1 and mat2 shapes cannot be multiplied (4608x1024 and 61x103)
fuzz_pt_cb9e3e6c,Crash,1.0,2065,2,"AvgPool2d,ReLU","[16, 1507]","Dimension out of range (expected to be in range of [-2, 1], but got -3)"
fuzz_pt_aa3475d3,Crash,1.0,2413,3,"AvgPool2d,Linear,AvgPool2d","[16, 1630]","Dimension out of range (expected to be in range of [-2, 1], but got -3)"
fuzz_pt_c6b8413b,Crash,1.0,4441,6,"ReLU,BatchNorm2d,ReLU,Conv2d,AvgPool2d,ReLU","[16, 10, 64, 64]",running_mean should contain 10 elements not 49
fuzz_pt_fa114d28,Crash,1.0,1352,2,"AvgPool2d,BatchNorm2d","[128, 1, 32, 32]",running_mean should contain 1 elements not 22
fuzz_pt_bde45de1,Success,6.54,1959,1,MaxPool2d,"[64, 33, 256, 16]",None
fuzz_pt_c014c82b,Crash,1.0,3942,5,"Linear,MaxPool2d,Flatten,Flatten,Linear","[16, 4077]",mat1 and mat2 shapes cannot be multiplied (16x4077 and 748x575)
fuzz_pt_b2bb952a,Crash,1.0,1395,2,"BatchNorm2d,AvgPool2d","[1, 58, 1024, 256]",running_mean should contain 58 elements not 62
fuzz_pt_cbe300e3,Crash,1.0,2851,4,"Conv2d,AvgPool2d,Conv2d,AvgPool2d","[64, 53, 1024, 128]","Given groups=1, weight of size [42, 38, 3, 3], expected input[64, 53, 1024, 128] to have 38 channels, but got 53 channels instead"
fuzz_pt_652fef0b,Crash,1.0,4220,6,"Linear,Flatten,AvgPool2d,ReLU,BatchNorm2d,BatchNorm2d","[128, 9, 1024, 256]",mat1 and mat2 shapes cannot be multiplied (1179648x256 and 861x311)
fuzz_pt_2478233d,Crash,1.03,3765,3,"Linear,MaxPool2d,AvgPool2d","[64, 44, 128, 32]",mat1 and mat2 shapes cannot be multiplied (360448x32 and 408x56)
fuzz_pt_a761d8ea,Crash,7.33,2608,3,"MaxPool2d,Flatten,AvgPool2d","[64, 63, 16, 128]","Dimension out of range (expected to be in range of [-2, 1], but got -3)"
fuzz_pt_e854e406,Crash,1.0,3900,4,"Conv2d,Flatten,BatchNorm2d,MaxPool2d","[4, 35, 128, 128]","Given groups=1, weight of size [12, 49, 3, 3], expected input[4, 35, 128, 128] to have 49 channels, but got 35 channels instead"
fuzz_pt_c71983f0,Success,24.1,1668,1,ReLU,"[64, 58, 256, 128]",None
fuzz_pt_9fa799d1,Crash,1.0,1280,1,BatchNorm2d,"[1, 405]",expected 4D input (got 2D input)
fuzz_pt_77e4a150,Crash,2.06,1631,2,"BatchNorm2d,Flatten","[64, 33, 32, 16]",running_mean should contain 33 elements not 55
fuzz_pt_a06de75c,Crash,1.0,3217,5,"Flatten,AvgPool2d,MaxPool2d,AvgPool2d,Conv2d","[128, 4, 32, 32]","Dimension out of range (expected to be in range of [-2, 1], but got -3)"
fuzz_pt_829a936c,Success,1718.42,1383,1,ReLU,"[64, 16, 256, 1024]",None
fuzz_pt_97d1d054,Crash,1.0,1852,2,"Linear,BatchNorm2d","[64, 1840]",mat1 and mat2 shapes cannot be multiplied (64x1840 and 792x149)
fuzz_pt_79779cc6,Crash,1.0,2857,2,"Flatten,Conv2d","[128, 28, 32, 64]","Expected 3D (unbatched) or 4D (batched) input to conv2d, but got input of size: [128, 57344]"
fuzz_pt_7a4f1155,Crash,1.03,4001,4,"MaxPool2d,ReLU,Linear,Linear","[1, 4, 16, 256]",mat1 and mat2 shapes cannot be multiplied (32x128 and 333x701)
fuzz_pt_615babad,Crash,1.0,2853,5,"Flatten,AvgPool2d,MaxPool2d,AvgPool2d,ReLU","[64, 578]","Dimension out of range (expected to be in range of [-2, 1], but got -3)"
fuzz_pt_6c9f00f1,Success,4.83,3493,4,"MaxPool2d,AvgPool2d,AvgPool2d,AvgPool2d","[128, 5, 128, 64]",None
fuzz_pt_e0719eef,Crash,1.0,4001,5,"Conv2d,ReLU,ReLU,Flatten,AvgPool2d","[64, 3264]","Expected 3D (unbatched) or 4D (batched) input to conv2d, but got input of size: [64, 3264]"
fuzz_pt_d607c697,Crash,1.0,2042,2,"BatchNorm2d,AvgPool2d","[64, 2416]",expected 4D input (got 2D input)
fuzz_pt_b44b595d,Crash,1.0,5745,6,"Flatten,AvgPool2d,Conv2d,BatchNorm2d,AvgPool2d,Linear","[16, 16, 64, 32]","Dimension out of range (expected to be in range of [-2, 1], but got -3)"
fuzz_pt_14adb08c,Crash,469.55,3537,3,"MaxPool2d,Conv2d,AvgPool2d",Unallocatable,AllocationError: [enforce fail at alloc_cpu.cpp:117] data. DefaultCPUAllocator: not enough memory: you tried to allocate 12884901888 bytes.
fuzz_pt_6db9a734,Crash,1.0,2197,5,"ReLU,ReLU,Flatten,Flatten,BatchNorm2d","[128, 4, 32, 32]",expected 4D input (got 2D input)
fuzz_pt_0d27ef9f,Crash,20963.76,1582,4,"ReLU,ReLU,MaxPool2d,ReLU","[128, 45, 256, 1024]",[enforce fail at alloc_cpu.cpp:117] data. DefaultCPUAllocator: not enough memory: you tried to allocate 6039797760 bytes.
fuzz_pt_46263682,Crash,1.27,3416,5,"Flatten,Flatten,ReLU,Flatten,Linear","[256, 3343]",mat1 and mat2 shapes cannot be multiplied (256x3343 and 30x26)
fuzz_pt_458a65ed,Crash,1.0,6071,5,"ReLU,Conv2d,Flatten,AvgPool2d,Linear","[4, 31, 128, 16]","Given groups=1, weight of size [42, 62, 1, 1], expected input[4, 31, 128, 16] to have 62 channels, but got 31 channels instead"
fuzz_pt_b60ade12,Crash,9.5,5477,6,"AvgPool2d,Flatten,MaxPool2d,Linear,Conv2d,Conv2d","[1, 58, 1024, 1024]",non-empty 3D or 4D (batch mode) tensor expected for input
fuzz_pt_78f8d687,Crash,1.0,1326,1,BatchNorm2d,"[4, 62, 1024, 16]",running_mean should contain 62 elements not 15
